nt n4 type kernel bw
128 16 static Add 845.8153
128 16 static Triad 642.0945
128 24 array-external Set 161.5169
128 24 array-external Copy 279.7996
128 24 array-external Scale 277.1579
128 24 array-external Add 382.5472
128 24 array-external Triad 368.4176
128 24 array-internal Set 407.8665
128 24 array-internal Copy 453.0783
128 24 array-internal Scale 441.6595
128 24 array-internal Add 493.5345
128 24 array-internal Triad 492.0363
128 24 static Set 859.6625
128 24 static Copy 1030.8438
128 24 static Scale 937.1859
128 24 static Add 1020.8438
128 24 static Triad 985.7732
128 32 array-external Set 33.4960
128 32 array-external Copy 43.3296
128 32 array-external Scale 36.0928
128 32 array-external Add 45.6575
128 32 array-external Triad 48.0675
128 32 array-internal Set 40.8244
128 32 array-internal Copy 47.5846
128 32 array-internal Scale 35.5719
128 32 array-internal Add 45.3214
128 32 array-internal Triad 50.8352
128 32 static Set 733.3447
128 32 static Copy 591.9760
128 32 static Scale 521.4803
128 32 static Add 435.2226
128 32 static Triad 424.2030
128 48 array-external Set 43.4224
128 48 array-external Copy 61.5150
128 48 array-external Scale 49.0798
128 48 array-external Add 61.0151
128 48 array-external Triad 63.8681
128 48 array-internal Set 71.7653
128 48 array-internal Copy 87.6412
128 48 array-internal Scale 74.8705
128 48 array-internal Add 90.3749
128 48 array-internal Triad 91.0539
128 48 static Set 245.4761
128 48 static Copy 263.2385
128 48 static Scale 244.6262
128 48 static Add 279.9164
128 48 static Triad 262.4010
128 64 array-external Set 62.8988
128 64 array-external Copy 82.3366
128 64 array-external Scale 82.8381
128 64 array-external Add 92.9991
128 64 array-external Triad 94.0487
128 64 array-internal Set 58.9192
128 64 array-internal Copy 72.2953
128 64 array-internal Scale 71.8699
128 64 array-internal Add 74.6397
128 64 array-internal Triad 73.2146
128 64 static Set 172.1336
128 64 static Copy 220.5354
128 64 static Scale 219.1138
128 64 static Add 244.8128
128 64 static Triad 242.4976
128 80 array-external Set 103.4179
128 80 array-external Copy 126.0755
128 80 array-external Scale 123.3570
128 80 array-external Add 138.6799
128 80 array-external Triad 131.7361
128 80 array-internal Set 145.5265
128 80 array-internal Copy 186.6384
128 80 array-internal Scale 188.6751
128 80 array-internal Add 211.0667
128 80 array-internal Triad 204.7657
128 80 static Set 159.5904
128 80 static Copy 209.0632
128 80 static Scale 212.4898
128 80 static Add 238.0992
128 80 static Triad 238.6298
128 96 array-external Set 133.6698
128 96 array-external Copy 181.6179
128 96 array-external Scale 183.7251
128 96 array-external Add 207.0815
128 96 array-external Triad 204.1150
128 96 array-internal Set 146.3096
128 96 array-internal Copy 193.7936
128 96 array-internal Scale 197.4630
128 96 array-internal Add 219.3398
128 96 array-internal Triad 212.7341
128 96 static Set 158.0605
128 96 static Copy 210.8979
128 96 static Scale 212.1347
128 96 static Add 240.4828
128 96 static Triad 239.2577
