nt n4 type kernel bw
128 16 static Add 580.2053
128 16 static Triad 568.5907
128 24 array-external Set 257.5099
128 24 array-external Copy 357.4039
128 24 array-external Scale 348.2023
128 24 array-external Add 452.8871
128 24 array-external Triad 443.6249
128 24 array-internal Set 439.7964
128 24 array-internal Copy 473.1332
128 24 array-internal Scale 474.1527
128 24 array-internal Add 518.7448
128 24 array-internal Triad 501.2866
128 24 static Set 412.1654
128 24 static Copy 508.1384
128 24 static Scale 490.3396
128 24 static Add 648.8537
128 24 static Triad 619.9328
128 32 array-external Set 27.8028
128 32 array-external Copy 37.1122
128 32 array-external Scale 38.3685
128 32 array-external Add 42.2866
128 32 array-external Triad 48.5524
128 32 array-internal Set 28.0170
128 32 array-internal Copy 38.2697
128 32 array-internal Scale 33.8128
128 32 array-internal Add 40.5513
128 32 array-internal Triad 51.3164
128 32 static Set 408.8381
128 32 static Copy 514.8616
128 32 static Scale 482.8839
128 32 static Add 446.3054
128 32 static Triad 447.1973
128 48 array-external Set 49.9875
128 48 array-external Copy 64.4061
128 48 array-external Scale 55.8917
128 48 array-external Add 65.8494
128 48 array-external Triad 65.8165
128 48 array-internal Set 77.4219
128 48 array-internal Copy 85.3885
128 48 array-internal Scale 79.5300
128 48 array-internal Add 99.5232
128 48 array-internal Triad 101.7349
128 48 static Set 244.3448
128 48 static Copy 263.1744
128 48 static Scale 239.2400
128 48 static Add 277.5717
128 48 static Triad 256.2032
128 64 array-external Set 83.9123
128 64 array-external Copy 116.0018
128 64 array-external Scale 113.9169
128 64 array-external Add 134.6623
128 64 array-external Triad 134.7562
128 64 array-internal Set 87.5907
128 64 array-internal Copy 110.5947
128 64 array-internal Scale 110.5058
128 64 array-internal Add 125.3773
128 64 array-internal Triad 122.9341
128 64 static Set 173.1494
128 64 static Copy 219.6216
128 64 static Scale 217.1866
128 64 static Add 244.7293
128 64 static Triad 241.3630
128 80 array-external Set 91.0973
128 80 array-external Copy 116.3300
128 80 array-external Scale 115.7424
128 80 array-external Add 128.9732
128 80 array-external Triad 128.9831
128 80 array-internal Set 145.0018
128 80 array-internal Copy 184.7777
128 80 array-internal Scale 189.7503
128 80 array-internal Add 210.4130
128 80 array-internal Triad 206.5916
128 80 static Set 161.2560
128 80 static Copy 206.4352
128 80 static Scale 208.0274
128 80 static Add 235.2576
128 80 static Triad 235.9571
128 96 array-external Set 134.7106
128 96 array-external Copy 184.9559
128 96 array-external Scale 186.3073
128 96 array-external Add 211.1505
128 96 array-external Triad 208.7092
128 96 array-internal Set 148.4840
128 96 array-internal Copy 201.1438
128 96 array-internal Scale 199.9530
128 96 array-internal Add 228.9814
128 96 array-internal Triad 223.3480
128 96 static Set 148.3229
128 96 static Copy 204.2087
128 96 static Scale 207.8653
128 96 static Add 236.8654
128 96 static Triad 236.9927
