nt n4 type kernel bw
96 16 static Add 1028.4638
96 16 static Triad 751.2635
96 24 array-external Set 206.9262
96 24 array-external Copy 379.9370
96 24 array-external Scale 372.0472
96 24 array-external Add 540.4603
96 24 array-external Triad 522.1293
96 24 array-internal Set 781.0706
96 24 array-internal Copy 838.3254
96 24 array-internal Scale 860.1384
96 24 array-internal Add 906.0448
96 24 array-internal Triad 870.5969
96 24 static Set 1189.9388
96 24 static Copy 1935.6414
96 24 static Scale 1178.6331
96 24 static Add 1957.5810
96 24 static Triad 1227.5134
96 32 array-external Set 244.9181
96 32 array-external Copy 162.3055
96 32 array-external Scale 196.6402
96 32 array-external Add 177.8297
96 32 array-external Triad 194.0062
96 32 array-internal Set 437.2996
96 32 array-internal Copy 248.9574
96 32 array-internal Scale 323.6827
96 32 array-internal Add 249.5675
96 32 array-internal Triad 276.8341
96 32 static Set 780.6200
96 32 static Copy 509.6521
96 32 static Scale 537.2484
96 32 static Add 416.7574
96 32 static Triad 450.8348
96 48 array-external Set 160.0657
96 48 array-external Copy 138.6024
96 48 array-external Scale 161.7077
96 48 array-external Add 190.6988
96 48 array-external Triad 189.3724
96 48 array-internal Set 215.3573
96 48 array-internal Copy 150.4594
96 48 array-internal Scale 185.9590
96 48 array-internal Add 207.8564
96 48 array-internal Triad 211.1985
96 48 static Set 275.6607
96 48 static Copy 292.6514
96 48 static Scale 298.3584
96 48 static Add 345.6116
96 48 static Triad 337.8803
96 64 array-external Set 182.7205
96 64 array-external Copy 179.6288
96 64 array-external Scale 201.1900
96 64 array-external Add 238.5680
96 64 array-external Triad 233.8928
96 64 array-internal Set 180.6281
96 64 array-internal Copy 174.4650
96 64 array-internal Scale 206.9232
96 64 array-internal Add 239.6057
96 64 array-internal Triad 236.5343
96 64 static Set 227.0279
96 64 static Copy 293.4517
96 64 static Scale 293.8154
96 64 static Add 333.7680
96 64 static Triad 335.3035
96 80 array-external Set 213.0529
96 80 array-external Copy 228.8289
96 80 array-external Scale 259.7781
96 80 array-external Add 302.4273
96 80 array-external Triad 293.4297
96 80 array-internal Set 208.7908
96 80 array-internal Copy 215.5756
96 80 array-internal Scale 250.4672
96 80 array-internal Add 288.2436
