nt n4 type kernel bw
96 16 static Add 984.0907
96 16 static Triad 755.5187
96 24 array-external Set 193.2031
96 24 array-external Copy 374.0967
96 24 array-external Scale 373.3085
96 24 array-external Add 555.3108
96 24 array-external Triad 534.3565
96 24 array-internal Set 787.2192
96 24 array-internal Copy 431.8726
96 24 array-internal Scale 870.8746
96 24 array-internal Add 939.7090
96 24 array-internal Triad 892.9962
96 24 static Set 1127.3514
96 24 static Copy 1634.1130
96 24 static Scale 1221.5775
96 24 static Add 1955.2777
96 24 static Triad 1179.5533
96 32 array-external Set 242.1508
96 32 array-external Copy 157.5442
96 32 array-external Scale 216.4459
96 32 array-external Add 190.7423
96 32 array-external Triad 213.2820
96 32 array-internal Set 404.0626
96 32 array-internal Copy 212.9583
96 32 array-internal Scale 239.2658
96 32 array-internal Add 196.0473
96 32 array-internal Triad 240.0149
96 32 static Set 829.4261
96 32 static Copy 547.5883
96 32 static Scale 559.0293
96 32 static Add 444.0551
96 32 static Triad 452.0516
96 48 array-external Set 157.9073
96 48 array-external Copy 136.4167
96 48 array-external Scale 156.5019
96 48 array-external Add 179.3145
96 48 array-external Triad 183.3278
96 48 array-internal Set 204.2886
96 48 array-internal Copy 160.8451
96 48 array-internal Scale 195.2656
96 48 array-internal Add 220.5960
96 48 array-internal Triad 226.7446
96 48 static Set 273.5449
96 48 static Copy 283.7943
96 48 static Scale 295.7469
96 48 static Add 347.2556
96 48 static Triad 335.8007
96 64 array-external Set 168.9588
96 64 array-external Copy 166.6969
96 64 array-external Scale 185.9595
96 64 array-external Add 221.0942
96 64 array-external Triad 219.6125
96 64 array-internal Set 163.9516
96 64 array-internal Copy 139.8331
96 64 array-internal Scale 170.1305
96 64 array-internal Add 198.1896
96 64 array-internal Triad 194.9943
96 64 static Set 224.6435
96 64 static Copy 288.2941
96 64 static Scale 292.3113
96 64 static Add 332.8619
96 64 static Triad 335.0242
96 80 array-external Set 210.5606
96 80 array-external Copy 229.9327
96 80 array-external Scale 250.0501
96 80 array-external Add 304.1168
96 80 array-external Triad 290.3183
96 80 array-internal Set 207.8715
96 80 array-internal Copy 211.8414
96 80 array-internal Scale 249.3330
96 80 array-internal Add 286.6225
96 80 array-internal Triad 283.2750
96 80 static Set 218.6473
96 80 static Copy 288.3146
96 80 static Scale 289.6415
96 80 static Add 329.8398
96 80 static Triad 329.5414
96 96 array-external Set 218.4411
96 96 array-external Copy 256.5641
96 96 array-external Scale 275.2309
96 96 array-external Add 325.9512
96 96 array-external Triad 312.5617
96 96 array-internal Set 211.6191
96 96 array-internal Copy 240.0450
96 96 array-internal Scale 267.8192
96 96 array-internal Add 300.7403
96 96 array-internal Triad 298.6716
96 96 static Set 216.0084
96 96 static Copy 291.5117
96 96 static Scale 292.5177
96 96 static Add 330.7560
96 96 static Triad 331.2978
